Date,Time,Defect Name,Station,Part of the Car,Reporter Name,Part Number,Severity Rating,Car Model,Motor Type,Design Package,Production Shift,Resolution Time (in hours),Root Cause Identified,Defect Category
23.06.23,12:00:00,Loose Wiring,Tir eand rim installation,Door Panel,Chris Lee,875001,10,Base,Long Range,Offroad,Morning,8,Yes,Cosmetic
15.01.23,11:30:00,Hydraulic Leak,Dashboard installation,Wire Harness,John Doe,976787,6,IX0M,Long Range,Race,Afternoon,18,Yes,Cosmetic
26.11.23,10:45:00,Faulty Battery,Second row seats installation,Axel,Michael Johnson,346917,2,Alpina,High Performance,Offroad,Night,11,,Cosmetic
05.11.23,15:30:00,Sensor Failure,Rear bumper installation,Steering Wheel,Michael Johnson,748951,10,IX0M,Standard,Offroad,Morning,21,Yes,Cosmetic
04.09.23,12:45:00,Loose Wiring,Wire harness installation,Second Row Seats,Michael Johnson,929119,5,Base,Long Range,Offroad,Morning,20,,Cosmetic
03.09.23,13:30:00,Loose Wiring,EV battery installation,Steering Wheel,Michael Johnson,728467,8,Long,Long Range,Offroad,Afternoon,13,,Cosmetic
13.05.23,13:30:00,Cracked Windshield,Steering wheel installation,Wire Harness,Jane Smith,122407,9,IX0M,High Performance,Offroad,Night,13,Yes,Cosmetic
25.01.23,11:00:00,Cracked Windshield,Axel installation,First Row Seats,Chris Lee,943114,10,Base,Standard,Race,Afternoon,18,No,Cosmetic
19.12.23,14:45:00,Loose Wiring,Headlight installation,Dashboard,John Doe,132281,7,Alpina,Long Range,Eco,Morning,9,Yes,Functional
18.11.23,16:00:00,Paint Scratch,Steering wheel installation,Wire Harness,Chris Lee,689419,8,IX0M,Long Range,Eco,Morning,7,No,Cosmetic
07.10.23,09:15:00,Loose Wiring,Tire and rim installation,Axel,Chris Lee,357743,7,Base,Long Range,Offroad,Morning,16,No,Cosmetic
29.10.23,12:45:00,Cracked Windshield,Axel installation,Windshield,Michael Johnson,507787,5,Base,Long Range,Luxury,Afternoon,17,No,Cosmetic
